plan_index,status,title,parent_category,subject,material_category,file_count,size_mb,upload_mode_hint,tags,description
46,uploaded,数电复习资料,课程,数电,复习资料,13,142.36,single_page_multi_file,数电 | 复习资料 | 习题解答 | PDF | Verilog | CMOS | 施密特触发器 | 分频器 | 逻辑函数,收录数电相关复习资料，共13个文件，约142.4MB。关键词：数电、习题解答、PDF、Verilog、CMOS、施密特触发器、分频器、逻辑函数。内容概览：数字逻辑复习大纲，涵盖数制转换、逻辑代数、组合逻辑电路、锁存器与触发器、时序逻辑电路及Verilog HDL。重点包括卡诺图化简、MSI器件应用、同步时序电路设计。出题方式为填空、化简、分析与设计。适用于2020年数字电路课程复习。 数电课程第二章部分习题解答的PDF文件，包含课后习题的详细解答过程，适合复习和巩固知识点。
47,uploaded,数电往年题,课程,数电,往年题,5,7.34,single_page_multi_file,数电 | 往年题 | 数字电路与逻辑设计 | 数字电路 | 复习大纲 | CMOS | TTL | 考试题 | 2011,收录数电相关往年题，共5个文件，约7.3MB。关键词：数电、数字电路与逻辑设计、数字电路、复习大纲、CMOS、TTL、考试题、2011。内容概览：2011年秋季数字电子技术课程56学时考试试题，适用于期末复习与自测。 2019年华中科技大学数字电路与逻辑设计（一）A卷闭卷考试真题，包含填空题、化简题、波形图、组合电路分析等题型，涉及格雷码、逻辑函数反演、三态门、D触发器、JK触发器、ROM、ADC、DAC、Verilog HDL等知识点。
48,skipped_by_default_policy,数电教材,课程,数电,教材,16,574.13,consider_zip_or_split,数电 | 教材 | 数字电子技术基础 | 阎石 | 教学课件 | 电子技术基础 | 数字部分 | 第五版,收录数电相关教材，共16个文件，约574.1MB。关键词：数电、数字电子技术基础、阎石、教学课件、电子技术基础、数字部分、第五版、教材。内容概览：数字电子技术基础教材第一章，涵盖数字逻辑概论、数制、二进制代码、逻辑运算等。 《电子技术基础 数字部分》第6版教材，适用于数电课程，涵盖数字电路基础、逻辑门、组合逻辑电路、时序逻辑电路等核心知识点，适合本科教学与复习使用。
49,uploaded,数电数电实验课,课程,数电,数电实验课,10,28.76,single_page_multi_file,数电 | 数电实验课 | 实验 | QuartusII | CPLD | Quartus II | 软件使用 | 数字存储示波器 | GDS-2000E,收录数电相关数电实验课，共10个文件，约28.8MB。关键词：数电、实验、QuartusII、CPLD、Quartus II、软件使用、数字存储示波器、GDS-2000E。内容概览：GDS-2000E系列数字存储示波器使用手册，包含安全说明、产品介绍、测量操作、设置、触发、搜索、应用程序及文件管理等章节，适用于数电课程中示波器的使用与操作指导。 该文档介绍了使用QuartusII软件在数电实验箱上设计和实现7段译码管程序的实验步骤，包括实验箱结构、数码管原理、工程创建、Verilog代码编写、管脚分配及程序下载。
50,uploaded,数电数电真题及复习,课程,数电,数电真题及复习,11,128.47,single_page_multi_file,数电 | 数电真题及复习 | 数字电路与逻辑设计 | 华中科技大学 | 考试题 | 56学时 | 2019 | A卷 | 试卷,收录数电相关数电真题及复习，共11个文件，约128.5MB。关键词：数电、数字电路与逻辑设计、华中科技大学、考试题、56学时、2019、A卷、试卷。内容概览：陈杰制作的数字电子技术考前复习PPT 吴婧尧关于数电的分享PPT
51,uploaded,数电清华大学阎石《数字电子技术基础》第五版教学课件,课程,数电,清华大学阎石《数字电子技术基础》第五版教学课件,11,34.08,single_page_multi_file,数电 | 清华大学阎石《数字电子技术基础》第五版教学课件 | 阎石 | 数字电子技术基础 | 教学课件 | 第五版 | 清华 | 数字电子技术 | 课件,收录数电相关清华大学阎石《数字电子技术基础》第五版教学课件，共11个文件，约34.1MB。关键词：阎石、数字电子技术基础、教学课件、第五版、数电、清华、数字电子技术、课件。内容概览：清华阎石《数字电子技术基础》第五版第一章教学课件 清华阎石《数字电子技术基础》第五版第七章教学课件
52,uploaded,数电课件,课程,数电,课件,5,29.96,single_page_multi_file,数电 | 课件 | 数字电子技术 | 阎石 | 清华 | 第五版 | Verilog | 硬件描述语言,收录数电相关课件，共5个文件，约30.0MB。关键词：数电、数字电子技术、阎石、清华、课件、第五版、Verilog、硬件描述语言。内容概览：介绍Verilog硬件描述语言在数字电路设计中的基础应用。 数电课程第1至5章的PPT课件
53,uploaded,数电课程资料,课程,数电,课程资料,6,4.08,single_page_multi_file,数电 | 课程资料 | 逻辑代数 | 卡诺图 | 逻辑函数 | 逻辑运算 | 与门 | 或门 | 非门 | 布尔代数,收录数电相关课程资料，共6个文件，约4.1MB。关键词：逻辑代数、卡诺图、逻辑函数、逻辑运算、与门、或门、非门、布尔代数。内容概览：数字逻辑基础：二值逻辑变量、基本逻辑运算（与、或、非）及其电路实现。 逻辑代数基本定理、规则、化简方法及Verilog HDL基础，数字电路课程内容。
54,uploaded,ch04.5-Verilog基础,课程,数电,通信学院-数电ppt,1,0.83,single_page_multi_file,数电 | 通信学院-数电ppt | Verilog | 硬件描述语言 | 数字电路,收录数电相关通信学院-数电ppt，共1个文件，约0.8MB。关键词：Verilog、硬件描述语言、数字电路。内容概览：介绍Verilog硬件描述语言在数字电路设计中的基础应用。
55,uploaded,模拟电子技术ZTY神人也,课程,模拟电子技术,ZTY神人也,19,90.76,single_page_multi_file,模拟电子技术 | ZTY神人也 | PPT | 宽版 | CH04 | 功率放大器 | PPT课件 | toS | CH02,收录模拟电子技术相关ZTY神人也，共19个文件，约90.8MB。关键词：模拟电子技术、PPT、宽版、CH04、功率放大器、PPT课件、toS、CH02。内容概览：模拟电子技术课程第二章教学课件 模拟电子技术课程第三章的PPT文件
56,uploaded,模拟电子技术复习资料,课程,模拟电子技术,复习资料,11,119.42,single_page_multi_file,"模拟电子技术 | 复习资料 | 总复习 | 串讲 | 2024 | 模电 | 邓天平 | 20231225 | 模电, 串讲, 模拟电子技术, 复习","收录模拟电子技术相关复习资料，共11个文件，约119.4MB。关键词：模拟电子技术、总复习、串讲、2024、模电、邓天平、20231225、模电, 串讲, 模拟电子技术, 复习。内容概览：2024年模拟电子技术课程总复习PPT 模拟电子技术总复习PPT，涵盖课程核心知识点与复习要点。"
57,uploaded,第四阶段 音响放大器设计2025光电,课程,模拟电子技术,实验资料,1,1.95,single_page_multi_file,模拟电子技术 | 实验资料 | 音响放大器 | 集成运算放大器 | 增益带宽积 | 转换速率,收录模拟电子技术相关实验资料，共1个文件，约2.0MB。关键词：音响放大器、模拟电子技术、集成运算放大器、增益带宽积、转换速率。内容概览：音响放大器设计与调试第四阶段，涉及集成运算放大器参数如增益带宽积和转换速率，属于模拟电子技术实验内容。
58,uploaded,模拟电子技术往年题,课程,模拟电子技术,往年题,12,23.42,single_page_multi_file,模拟电子技术 | 往年题 | 答案 | 运算放大器 | 模电 | 真题 | 试卷 | 期末试题 | MOSFET,收录模拟电子技术相关往年题，共12个文件，约23.4MB。关键词：模拟电子技术、答案、运算放大器、模电、真题、试卷、期末试题、MOSFET。内容概览：2023年秋季模拟电子技术课程期末考试试卷，适用于复习和自测。 2023年秋季模拟电子技术期末试题及自制答案（第一版），包含试题与参考答案，适用于复习备考。
59,skipped_by_default_policy,模拟电子技术教材,课程,模拟电子技术,教材,6,340.19,single_page_multi_file,模拟电子技术 | 教材 | 电子技术基础 | 第7版 | 康华光 | 数字部分 | 习题辅导 | 解答,收录模拟电子技术相关教材，共6个文件，约340.2MB。关键词：模拟电子技术、电子技术基础、第7版、康华光、教材、数字部分、习题辅导、解答。内容概览：《电子技术基础·数字部分习题辅导与解答》第7版，由罗杰、秦臻编著，提供数字电子技术习题与详细解答，适合模拟电子技术课程辅助学习。 华中科技大学2019-2020学年第二学期模拟电子技术基础考试试卷（A卷），闭卷，考试时长150分钟。包含运算放大器电路分析、MOSFET静态工作点及小信号等效电路计算等题目。
60,uploaded,模拟电子技术课件,课程,模拟电子技术,课件,2,11.2,single_page_multi_file,模拟电子技术 | 课件 | 场效应管 | 放大 | 模电 | 双极结型三极管 | 放大电路 | BJT,收录模拟电子技术相关课件，共2个文件，约11.2MB。关键词：场效应管、放大、模电、双极结型三极管、放大电路、BJT、模拟电子技术。内容概览：场效应管及其放大电路分析 双极结型三极管及其放大电路的PPT课件
61,uploaded,第四版_Neamen-700-1395,课程,模拟电子技术,课程资料,1,55.53,single_page_multi_file,模拟电子技术 | 课程资料 | operational amplifier | op-amp | circuit | Neamen | analog electronics,"收录模拟电子技术相关课程资料，共1个文件，约55.5MB。关键词：operational amplifier、op-amp、circuit、Neamen、analog electronics。内容概览：Chapter 9 of Neamen's microelectronics textbook covering ideal operational amplifiers and op-amp circuits, including analysis and design problems."
62,uploaded,2025-56总复习 169,课程,模电,复习资料,1,8.24,single_page_multi_file,模电 | 复习资料 | 总复习,收录模电相关复习资料，共1个文件，约8.2MB。关键词：模电、总复习。内容概览：模电课程总复习PPT，涵盖2025年56讲内容。
63,skipped_by_default_policy,模电教材,课程,模电,教材,4,152.59,single_page_multi_file,"模电 | 教材 | 模拟电子技术基础, 教学大纲, 模电 | 放大器 | 运算放大器 | 模拟电子技术, 康华光, 第七版, 习题答案, 学习辅导 | 电子技术基础 | 康华光","收录模电相关教材，共4个文件，约152.6MB。关键词：模电、模拟电子技术基础, 教学大纲, 模电、放大器、运算放大器、教材、模拟电子技术, 康华光, 第七版, 习题答案, 学习辅导、电子技术基础、康华光。内容概览：《模拟电子技术基础》课程教学大纲，包含课程名称、代码、学时、先修课程、教学目的、重点难点、教学方法、教学内容与学时安排等。 《你好，放大器》初识篇，杨建国著，西安交通大学2014年出版，介绍放大器定义、分类及使用。"
64,uploaded,模电课件,课程,模电,课件,7,26.58,single_page_multi_file,模电 | 课件 | 模拟电子技术 | 直流电源 | 电路 | 运算放大器 | 二极管 | 基本电路 | 模拟集成电路,收录模电相关课件，共7个文件，约26.6MB。关键词：模电、模拟电子技术、直流电源、电路、运算放大器、二极管、基本电路、模拟集成电路。内容概览：直流电源电路PPT，属于模拟电子技术课程内容。 运算放大器PPT课件，属于模拟电子技术课程内容。
65,uploaded,模电课程资料,课程,模电,课程资料,4,88.62,single_page_multi_file,模电 | 课程资料 | 运算放大器 | 2024 | 理想运放 | 运放电路 | 模拟电子技术 | 笔记 | 放大电路,收录模电相关课程资料，共4个文件，约88.6MB。关键词：模电、运算放大器、2024、理想运放、运放电路、模拟电子技术、笔记、放大电路。内容概览：2024年模拟电子技术课程文件 第五章含运算放大器的电路，介绍运放特性、理想运放模型及基本运放电路分析。
66,uploaded,模电 数电实验实验资料,课程,模电 数电实验,实验资料,4,14.5,single_page_multi_file,模电 数电实验 | 实验资料 | 示波器 | 考试 | 简答题 | 瓷片电容 | 模电 | 数电实验 | 2018 | 电解电容,收录模电 数电实验相关实验资料，共4个文件，约14.5MB。关键词：示波器、考试、简答题、瓷片电容、模电、数电实验、2018、电解电容。内容概览：2018年模电数电实验电气版考试简答题，涵盖瓷片电容与电解电容差异、信号发生器端口使用、示波器显示模式、数字万用表挡位选择、TTL与CMOS使用注意事项，以及CD40161十进制计数器时序波形观测方法。 2019年模电数电实验考试（OEI/IC版）包含简答题，涉及电位器阻值、瓷片电容容值、精密全波整流实验中示波器坐标调节、函数信号发生器同步输出特性、4511
67,uploaded,模电 数电实验工训循迹,课程,模电 数电实验,工训循迹,2,61.12,single_page_multi_file,模电 数电实验 | 工训循迹 | 模电 | 数电实验 | Arduino | 月球车 | 小车设计 | 课程报告 | 答辩,收录模电 数电实验相关工训循迹，共2个文件，约61.1MB。关键词：模电、数电实验、Arduino、月球车、小车设计、课程报告、答辩。内容概览：本报告为第十组小车综合设计历程报告，基于Arduino平台设计月球车模型。文档包含小组成员分工、计划进度、设计制作过程、电路与程序设计说明、作品特点评价及思考感悟。设计注重悬挂系统、动力提升和模块化，强调软硬件适配、实际测试和问题解决能力。 模电与数电实验课程的答辩演示文稿
68,skipped_by_default_policy,模电 数电实验教材,课程,模电 数电实验,教材,2,105.32,single_page_multi_file,"模电 数电实验 | 教材 | 电子技术基础实验 | 电子电路实验 | EDA技术 | 模电 | 数电 | 电子技术基础实验, 电子电路实验, EDA技术","收录模电 数电实验相关教材，共2个文件，约105.3MB。关键词：电子技术基础实验、电子电路实验、EDA技术、模电、数电、电子技术基础实验, 电子电路实验, EDA技术。内容概览：电子技术基础实验教材，涵盖电子电路实验、设计及现代EDA技术，适用于模电数电实验课程。"
69,uploaded,模电 数电实验数电实验课,课程,模电 数电实验,数电实验课,10,28.76,single_page_multi_file,模电 数电实验 | 数电实验课 | 数电实验 | QuartusII | 实验指导 | 软件使用 | 实验报告 | 数字存储示波器 | GDS-2000E | 使用手册,收录模电 数电实验相关数电实验课，共10个文件，约28.8MB。关键词：数电实验、QuartusII、实验指导、软件使用、实验报告、数字存储示波器、GDS-2000E、使用手册。内容概览：GDS-2000E系列数字存储示波器使用手册，涵盖安全说明、产品介绍、测量操作、设置、触发、搜索及应用程序等功能，适用于模电数电实验教学。 该文档为数电实验指导，介绍使用QuartusII软件在数电实验箱上设计和实现7段译码管程序。内容包括实验箱结构、7段数码管原理（共阴极与共阳极）、实验步骤（创建工程、编写Verilog代码、管脚分配、下载程序）。
70,uploaded,毛概复习资料,课程,毛概,复习资料,5,32.41,single_page_multi_file,毛概 | 复习资料 | 复习 | 马克思主义中国化 | 毛泽东思想 | 导论 | 2024 | 学生 | 思维导图,收录毛概相关复习资料，共5个文件，约32.4MB。关键词：毛概、复习、马克思主义中国化、毛泽东思想、导论、2024、学生、思维导图。内容概览：2024年毛概课程学生复习用的PPT课件 毛概全书的思维导图，来自高教中心下载版本，涵盖课程核心知识点，适合复习和梳理框架。
71,uploaded,毛概往年题,课程,毛概,往年题,12,9.31,single_page_multi_file,毛概 | 往年题 | 参考答案 | 期末自测题 | 概论 | 毛泽东思想 | 毛泽东思想和中国特色社会主义理论体系概论 | 考试 | A卷,收录毛概相关往年题，共12个文件，约9.3MB。关键词：毛概、参考答案、期末自测题、概论、毛泽东思想、毛泽东思想和中国特色社会主义理论体系概论、考试、A卷。内容概览：2021级《概论》B卷参考答案，包含单项选择题、多项选择题和材料分析题。材料分析题涉及马克思主义中国化时代化的内涵、毛泽东思想的历史地位、家庭联产承包责任制的作用以及改革开放的重要性。适用于毛概课程复习与考试参考。 2021级《概论》B卷参考答案，包含单项选择题、多项选择题和材料分析题。材料分析题涉及马克思主义中国化时代化的历程与内涵、毛泽东和毛泽东思想的历
72,skipped_by_default_policy,毛概教材,课程,毛概,教材,2,61.76,single_page_multi_file,毛概 | 教材 | 马克思主义中国化时代化 | 毛泽东思想 | 新民主主义革命理论 | 2024年概论 | 目录 | 毛泽东思想和中国特色社会主义理论体系概论 | 2023年版,收录毛概相关教材，共2个文件，约61.8MB。关键词：毛概、马克思主义中国化时代化、毛泽东思想、新民主主义革命理论、2024年概论、目录、毛泽东思想和中国特色社会主义理论体系概论、2023年版。内容概览：该PDF为2024年《概论》教材目录，涵盖导论及前两章：导论介绍马克思主义中国化时代化的历史进程与理论成果；第一章为毛泽东思想及其历史地位；第二章为新民主主义革命理论，包括总路线、基本纲领、革命道路和三大法宝。 《毛泽东思想和中国特色社会主义理论体系概论（2023年版）》是马克思主义理论研究和建设工程重点教材，由高等教育出版社出版，适用于高校思想政治理论课教
73,uploaded,电力系统分析复习资料,课程,电力系统分析,复习资料,5,19.92,single_page_multi_file,电力系统分析 | 复习资料 | 回忆卷 | 串讲 | 2025 | 变压器额定电压 | 节点导纳矩阵 | 序分量边界条件 | 零序网络,收录电力系统分析相关复习资料，共5个文件，约19.9MB。关键词：电力系统分析、回忆卷、串讲、2025、变压器额定电压、节点导纳矩阵、序分量边界条件、零序网络。内容概览：2025年电力系统分析回忆卷，涵盖发电机与变压器额定电压标定、变压器实际变比计算、电压级基准电压选择、节点导纳矩阵元素计算及自阻抗与互阻抗物理意义、序分量边界条件（含B相阻抗断开情况）、零序网络绘制、同步发电机空载三相短路电流分量及衰减时间常数等知识点。 2025年电力系统分析课程回忆卷的参考答案，供复习参考。
74,uploaded,电力系统分析往年题,课程,电力系统分析,往年题,4,13.76,single_page_multi_file,电力系统分析 | 往年题 | 串讲 | 电分 | 考试 | 黄轶翔 | 题型 | 同步电机 | Park变换,收录电力系统分析相关往年题，共4个文件，约13.8MB。关键词：串讲、电力系统分析、电分、考试、黄轶翔、题型、同步电机、Park变换。内容概览：电力系统分析（电分上）串讲资料，涵盖考试题型、章节重点及复习建议。 电力系统分析（上）串讲资料，涵盖考试题型、章节重点和复习建议。
75,uploaded,电气工程基础A类_李浩,课程,电力系统分析,课件,1,4.86,single_page_multi_file,电力系统分析 | 课件 | 电气工程基础 | 电力系统,收录电力系统分析相关课件，共1个文件，约4.9MB。关键词：电气工程基础、电力系统。内容概览：电气工程基础A类课程PPT，作者李浩。
76,uploaded,电机学复习资料,课程,电机学,复习资料,7,62.5,single_page_multi_file,电机学 | 复习资料 | 串讲 | 李俊昊 | 杨文博 | 大二下 | 倪谢霆 | 唐卓扬 | 异步电机,收录电机学相关复习资料，共7个文件，约62.5MB。关键词：电机学、串讲、李俊昊、杨文博、大二下、倪谢霆、唐卓扬、异步电机。内容概览：电机学上串讲PPT 电机学上课程串讲PPT，由李俊昊提供。
77,skipped_by_default_policy,电机学教材,课程,电机学,教材,4,129.67,single_page_multi_file,电机学 | 教材 | 许实章 | 陈媛 | 辜承林 | 陈乔夫 | 熊永前 | Z-Library,收录电机学相关教材，共4个文件，约129.7MB。关键词：电机学、教材、许实章、陈媛、辜承林、陈乔夫、熊永前、Z-Library。内容概览：电机学教材，许实章主编，适合电机学课程学习。 电机学教材，由陈媛、辜承林、陈乔夫、熊永前编著，涵盖电机基本理论、结构、运行原理及分析，适用于电气工程专业教学。
78,uploaded,电机学课程资料,课程,电机学,课程资料,3,41.91,single_page_multi_file,电机学 | 课程资料 | 导论 | 电磁定律 | 铁磁材料 | 磁路 | 直流电机 | 电枢绕组 | 磁场,收录电机学相关课程资料，共3个文件，约41.9MB。关键词：电机学、导论、电磁定律、铁磁材料、磁路、直流电机、电枢绕组、磁场。内容概览：电机学第1章导论，涵盖电机基本概念、分类、应用、基本电磁定律、铁磁材料特性及磁路计算方法。 第二章直流电机，包括工作原理、电枢绕组、磁场、基本特性和电力传动。
79,uploaded,电气工程实践基础第五讲（2025版） (2),课程,电气工程实践基础第五讲（2025版） (2),课件,1,6.23,single_page_multi_file,电气工程实践基础第五讲（2025版） (2) | 课件 | 电气工程 | 实践基础 | 第五讲 | 2025版,收录电气工程实践基础第五讲（2025版） (2)相关课件，共1个文件，约6.2MB。关键词：电气工程、实践基础、第五讲、2025版。内容概览：电气工程实践基础第五讲（2025版）的PPT课件
80,uploaded,电测下实验资料,课程,电测下,实验资料,14,15.8,single_page_multi_file,电测下 | 实验资料 | 实验报告 | 2022 | 电子线路 | 电子线路实验 | 示波器 | 半波整流 | RC移相 | 数字钟,收录电测下相关实验资料，共14个文件，约15.8MB。关键词：实验报告、2022、电子线路、电子线路实验、示波器、半波整流、RC移相、数字钟。内容概览：电子线路实验报告，涵盖示波器、信号发生器、直流稳压电源、数字万用表的使用方法，以及半波整流电路和RC移相电路的波形观察与测量。实验包括面包板通断检测、示波器自检、信号源使用等任务，记录了输入输出波形、频率、峰峰值等参数，并分析了二极管压降和相位差。实验时间为2022年4月15日，作者为电气2001班李达志。 该实验报告来自电气2001班学生，完成于2022年
81,skipped_by_default_policy,电磁场叶齐政老师课件电磁场,课程,电磁场,叶齐政老师课件电磁场,27,54.52,single_page_multi_file,电磁场 | 叶齐政老师课件电磁场 | 2024 | 叶齐政 | 静电场 | 恒定磁场 | 华中科技大学 | PDF | HUST,收录电磁场相关叶齐政老师课件电磁场，共27个文件，约54.5MB。关键词：电磁场、2024、叶齐政、静电场、恒定磁场、华中科技大学、PDF、HUST。内容概览：华中科技大学电气与电子工程学院叶齐政教授主讲的《电磁场》课程介绍，包括教材《电磁场》（叶齐政、陈德智主编，机械工业出版社2023年印刷）、参考书、慕课资源及考核方式（期末考试60%，平时成绩30%，实验10%），强调电磁场在电气工程中的核心作用。 本节介绍矢量场的旋度概念，定义为最大环量面密度，方向为面元法向。通过均匀载流导体棒的实例，计算不同闭合曲线的环量
82,uploaded,电磁场复习资料,课程,电磁场,复习资料,6,5.07,single_page_multi_file,电磁场 | 复习资料 | 静电场 | 习题课 | 电磁波 | 公式整理 | 场论 | 电容 | 边界条件,收录电磁场相关复习资料，共6个文件，约5.1MB。关键词：电磁场、静电场、习题课、电磁波、公式整理、场论、电容、边界条件。内容概览：电磁场与电磁波公式整理，涵盖场论矢量恒等式、球坐标与圆柱坐标下的梯度散度旋度及拉普拉斯算子、本构参数、静电场基本公理、电场强度与电位、边界条件、电容计算及能量密度等核心知识点，附典型例题。 《电磁场》课后习题参考答案v8.0.0.240621_beta，包含第三章静电场习题3.1至3.6的详细解答。利用高斯定理和拉普拉斯方程求解电场强度与电位分布，涉及球对称
83,uploaded,电磁场实验资料,课程,电磁场,实验资料,5,5.72,single_page_multi_file,电磁场 | 实验资料 | 电磁场与电磁波 | HFSS | 波导仿真 | 华中科技大学 | 实验课 | 部分电容 | 预习报告,收录电磁场相关实验资料，共5个文件，约5.7MB。关键词：电磁场、电磁场与电磁波、HFSS、波导仿真、华中科技大学、实验课、部分电容、预习报告。内容概览：2025年电磁场实验课PPT，包含课前预习要求、实验目的与原理，涉及部分电容测量、电流场测量、螺管线圈磁场研究等实验内容，强调预习报告准备与数据记录规范。 华中科技大学《电磁场与电磁波》课程2016年仿真实验指导，使用HFSS软件对金属波导（圆波导或任意截面波导）进行建模与仿真，分析主模场分布、色散特性、截止频率及模式传输特性，要求独立完成并提交实验报告。
84,uploaded,电磁场往年题,课程,电磁场,往年题,4,37.49,single_page_multi_file,电磁场 | 往年题 | 华中科技大学 | 电气工程 | 华科 | 期末试卷 | 期末 | 时变场 | 试卷,收录电磁场相关往年题，共4个文件，约37.5MB。关键词：电磁场、华中科技大学、电气工程、华科、期末试卷、期末、时变场、试卷。内容概览：华中科技大学电磁场课程期末试卷，适用于期末复习与考试准备。 华中科技大学电气学院《电磁场》试卷A（闭卷），适用于电气工程及其自动化专业。试卷包含简答题（Maxwell方程组、边界条件、波导模式等）和计算题（传输线参数、互感、平面波、螺线管、平板电容器等），涉及时变场、准静态近似等知识点。
85,skipped_by_default_policy,电磁场教材,课程,电磁场,教材,2,142.99,single_page_multi_file,电磁场 | 教材 | 电磁波 | 场与波 | PDF | 叶齐政 | 陈德智 | Z-Library,收录电磁场相关教材，共2个文件，约143.0MB。关键词：电磁场、教材、电磁波、场与波、PDF、叶齐政、陈德智、Z-Library。内容概览：电磁场与电磁波教材，涵盖场与波的基本理论、麦克斯韦方程组、平面波传播等内容，适合电磁场课程学习。 《电磁场》教材，由叶齐政、陈德智编写，涵盖电磁场基本理论、麦克斯韦方程组、静电场、恒定磁场、时变电磁场等内容，适合高校电磁场课程学习。
86,uploaded,电磁场电子2006电磁场操作实验报告,课程,电磁场,电子2006电磁场操作实验报告,4,11.14,single_page_multi_file,电磁场 | 电子2006电磁场操作实验报告 | 实验报告 | 电子2006 | 刘翔宇 | U202014854 | 课程作业 | 电磁场与电磁波 | 电子2006班,收录电磁场相关电子2006电磁场操作实验报告，共4个文件，约11.1MB。关键词：电磁场、实验报告、电子2006、刘翔宇、U202014854、课程作业、电磁场与电磁波、电子2006班。内容概览：电子2006班刘翔宇（学号U202014854）的电磁场课程作业文档，可能包含电磁场理论、计算或实验相关内容，适用于课程学习与复习。 电磁场与电磁波实验报告，包含实验二和实验三的内容，由电子2006班郭睿媛完成。
87,skipped_by_default_policy,电磁场电磁场与电磁波习题答案 Chapter.1,课程,电磁场,电磁场与电磁波习题答案 Chapter.1,7,0.2,single_page_multi_file,电磁场 | 电磁场与电磁波习题答案 Chapter.1 | 习题 | 电荷 | 电磁学 | 课程名 | 知识点 | 资料类型 | 年份,收录电磁场相关电磁场与电磁波习题答案 Chapter.1，共7个文件，约0.2MB。关键词：电磁场、习题、电荷、电磁学、课程名、知识点、资料类型、年份。内容概览：电磁学定义：研究静止或运动电荷引起的电和磁现象。历史：Thales of Miletus发现琥珀摩擦后吸引轻小物体，希腊语“electron”衍生出电子、电等词汇。 本文讨论了电路理论无法充分解释的两种现象：无线互联网服务提供商（WISP）通过天线在空气中传输信号，无闭合回路；光纤通信中光信号在光纤内传输，无集总参数。两者均涉及分布参数，超出电路理论适用范围
88,skipped_by_default_policy,电磁场电磁场与电磁波习题答案 Chapter.10,课程,电磁场,电磁场与电磁波习题答案 Chapter.10,106,7.26,consider_zip_or_split,电磁场 | 电磁场与电磁波习题答案 Chapter.10 | 截止频率 | 波导 | 矩形波导 | 衰减常数 | TM模式 | 平行板波导 | 谐振频率,收录电磁场相关电磁场与电磁波习题答案 Chapter.10，共106个文件，约7.3MB。关键词：电磁场、截止频率、波导、矩形波导、衰减常数、TM模式、平行板波导、谐振频率。内容概览：该PDF文件为电磁场课程习题解答，针对任意截面直波导中波行为，推导了横向场分量用纵向场分量表示的通用公式，并证明了时谐激励下的两个关系式。涉及麦克斯韦方程、亥姆霍兹方程等知识点。 该资料为电磁场课程习题解答，针对均匀波导中三种基本传播波类型（TEM、TM、TE波）的定义进行解析，基于电场或磁场沿传播方向的分量分类。
89,skipped_by_default_policy,电磁场电磁场与电磁波习题答案 Chapter.11,课程,电磁场,电磁场与电磁波习题答案 Chapter.11,90,4.89,consider_zip_or_split,电磁场 | 电磁场与电磁波习题答案 Chapter.11 | 天线 | 辐射电阻 | 辐射方向图 | 习题 | 天线阵列 | 赫兹偶极子 | 方向性,收录电磁场相关电磁场与电磁波习题答案 Chapter.11，共90个文件，约4.9MB。关键词：电磁场、天线、辐射电阻、辐射方向图、习题、天线阵列、赫兹偶极子、方向性。内容概览：从麦克斯韦方程组出发，推导简单介质中电场E和磁场H的非齐次波动方程。通过对电场旋度方程取旋度并代入其他方程，得到E的波动方程；类似地，对磁场旋度方程取旋度并代入，得到H的波动方程。 该文本片段解释了什么是基本磁偶极子，通过磁矩分析其磁性强弱和方向，指出电子因自旋具有磁偶极矩，磁偶极矩大小与电流、面积和最大扭矩成正比。
90,skipped_by_default_policy,电磁场电磁场与电磁波习题答案 Chapter.2,课程,电磁场,电磁场与电磁波习题答案 Chapter.2,67,3.78,consider_zip_or_split,电磁场 | 电磁场与电磁波习题答案 Chapter.2 | 习题 | 矢量场 | 散度 | 梯度 | 旋度 | 矢量函数 | 向量运算,收录电磁场相关电磁场与电磁波习题答案 Chapter.2，共67个文件，约3.8MB。关键词：电磁场、习题、矢量场、散度、梯度、旋度、矢量函数、向量运算。内容概览：该PDF为电磁场课程习题，涉及向量A、B、C的基本运算，包括求单位向量、向量差、点积、夹角、方向分量、叉积及混合积，适合复习向量代数基础。 该PDF文件包含一道关于向量点积运算的习题，探讨(A·B)C是否等于A(B·C)。通过分步推导，利用点积定义和向量乘法，最终证明两者不相等，因为点积结果与向量乘积的顺序有关。
91,skipped_by_default_policy,电磁场电磁场与电磁波习题答案 Chapter.3,课程,电磁场,电磁场与电磁波习题答案 Chapter.3,94,6.32,consider_zip_or_split,电磁场 | 电磁场与电磁波习题答案 Chapter.3 | 电场强度 | 习题 | 高斯定律 | 介电常数 | 电容 | 电场 | 电势,收录电磁场相关电磁场与电磁波习题答案 Chapter.3，共94个文件，约6.3MB。关键词：电磁场、电场强度、习题、高斯定律、介电常数、电容、电场、电势。内容概览：该文本涉及电子束在偏转电场中的运动分析，求解电子束到达屏幕时的入射角α与偏转电场强度Ed的关系，以及偏转板宽度w与长度L满足d1=d0/20的条件。通过公式推导得出角度表达式和w与L的比例关系。 本文探讨了点电荷和电偶极子的电场强度随距离的变化规律。点电荷的电场强度与距离的平方成反比，而电偶极子的电场强度与距离的三次方成反比。通过公式推导和步骤分析，明确了两
